"Balanced KEGG Reactions",,,,,,
"ID","NAME","FORMULA (ID)","FORMULA (NAME)",,"INCLUDED IN ANAEROBIC GLOBAL METABOLISM?","Standard Molar Free Energy kJ/mol (pH 7, ionic strength 0.1 M)"
"R00004","diphosphate phosphohydrolase;","2 C00009 <=>  C00001 +  C00013","2 Orthophosphate <=>  H2O +  Diphosphate",,VERDADEIRO,"-20,8"
"R00005","urea-1-carboxylate amidohydrolase","2 C00011 + 2 C00014 <=>  C00001 +  C01010","2 CO2 + 2 Ammonia <=>  H2O +  Urea-1-carboxylate",,VERDADEIRO,"74,4"
"R00006","pyruvate:pyruvate acetaldehydetransferase (decarboxylating);","2 C00022 <=>  C00011 +  C00900","2 Pyruvate <=>  CO2 +  2-Acetolactate",,VERDADEIRO,30
"R00008","4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)","2 C00022 <=>  C06033","2 Pyruvate <=>  Parapyruvate",,VERDADEIRO,"12,2"
"R00009","hydrogen-peroxide:hydrogen-peroxide oxidoreductase","2 C00001 +  C00007 => 2 C00027","2 H2O +  Oxygen => 2 Hydrogen peroxide",,FALSO,"-189,9"
"R00010","alpha,alpha-trehalose glucohydrolase","2 C00031 <=>  C00001 +  C01083","2 D-Glucose <=>  H2O +  alpha,alpha-Trehalose",,VERDADEIRO,-14
"R00011","Mn(II):hydrogen-peroxide oxidoreductase","2 C00001 + 2 C19611 <=>  C00027 + 2 C00080 + 2 C19610","2 H2O + 2 Manganese(3+) <=>  Hydrogen peroxide + 2 H+ + 2 Manganese(2+)",,VERDADEIRO,"NaN"
"R00012","GTP:GTP guanylyltransferase"," C00013 +  C01261 <=> 2 C00044"," Diphosphate +  P1,P4-Bis(5'-guanosyl) tetraphosphate <=> 2 GTP",,VERDADEIRO,"8,6"
"R00013","glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)"," C00011 +  C01146 <=> 2 C00048"," CO2 +  2-Hydroxy-3-oxopropanoate <=> 2 Glyoxylate",,VERDADEIRO,"-28,2"
"R00014","pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)"," C00011 +  C05125 <=>  C00022 +  C00068"," CO2 +  2-(alpha-Hydroxyethyl)thiamine diphosphate <=>  Pyruvate +  Thiamin diphosphate",,VERDADEIRO,"-37,4"
"R00015","sucrose:sucrose 1'-beta-D-fructosyltransferase;"," C00031 +  C03661 <=> 2 C00089"," D-Glucose +  1F-beta-D-Fructosylsucrose <=> 2 Sucrose",,VERDADEIRO,"-7,8"
"R00018","putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)"," C00014 +  C06366 <=> 2 C00134"," Ammonia +  sym-Homospermidine <=> 2 Putrescine",,VERDADEIRO,-4
"R00022","chitobiose N-acetylglucosaminohydrolase","2 C00140 <=>  C00001 +  C01674","2 N-Acetyl-D-glucosamine <=>  H2O +  Chitobiose",,VERDADEIRO,-14
"R00023","hydroxylamine:NAD+ oxidoreductase;","2 C00004 + 2 C00080 +  C01818 <=> 2 C00003 + 2 C00192","2 NADH + 2 H+ +  Hyponitrite <=> 2 NAD+ + 2 Hydroxylamine",,VERDADEIRO,"NaN"
"R00024","3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)","2 C00197 <=>  C00001 +  C00011 +  C01182","2 3-Phospho-D-glycerate <=>  H2O +  CO2 +  D-Ribulose 1,5-bisphosphate",,VERDADEIRO,"-34,8"
"R00025","ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)"," C00007 +  C01847 +  C18091 =>  C00001 +  C00061 +  C00084 +  C00088"," Oxygen +  Reduced FMN +  Ethylnitronate =>  H2O +  FMN +  Acetaldehyde +  Nitrite",,FALSO,"NaN"
"R00026","cellobiose glucohydrolase","2 C00221 <=>  C00001 +  C00185","2 beta-D-Glucose <=>  H2O +  Cellobiose",,VERDADEIRO,-14
"R00027","2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)","2 C00261 <=>  C01408","2 Benzaldehyde <=>  Benzoin",,VERDADEIRO,"19,3"
"R00028","maltose glucohydrolase","2 C00267 <=>  C00001 +  C00208","2 alpha-D-Glucose <=>  H2O +  Maltose",,VERDADEIRO,-14
"R00031","1,2-benzenediol:oxygen oxidoreductase"," C00007 + 2 C00082 => 2 C00355"," Oxygen + 2 L-Tyrosine => 2 3,4-Dihydroxy-L-phenylalanine",,FALSO,"-340,7"
"R00032","beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"," C00007 +  C02094 => 2 C00376"," Oxygen +  beta-Carotene => 2 Retinal",,FALSO,-360
"R00033","thiamine:oxygen 5-oxidoreductase"," C00007 +  C00378 =>  C00027 +  C05856"," Oxygen +  Thiamine =>  Hydrogen peroxide +  Thiamine aldehyde",,FALSO,"-109,4"
"R00036","5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)","2 C00001 +  C00931 <=> 2 C00430","2 H2O +  Porphobilinogen <=> 2 5-Aminolevulinate",,VERDADEIRO,"-249,4"
"R00038","4-hydroxy-3-hexanone propanal-lyase (propanal-forming)"," C02948 <=> 2 C00479"," 4-Hydroxyhexan-3-one <=> 2 Propanal",,VERDADEIRO,"-19,3"
"R00039","raffinose:raffinose 1F-alpha-D-galactosyltransferase"," C00089 +  C08242 <=> 2 C00492"," Sucrose +  Lychnose <=> 2 Raffinose",,VERDADEIRO,0
"R00042","4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)"," C00007 + 2 C01179 => 2 C00011 + 2 C00642"," Oxygen + 2 3-(4-Hydroxyphenyl)pyruvate => 2 CO2 + 2 4-Hydroxyphenylacetate",,FALSO,"-557,8"
"R00043","1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)"," C00007 +  C04547 => 2 C00755"," Oxygen +  1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene => 2 4-Hydroxy-3-methoxy-benzaldehyde",,FALSO,"-361,2"
"R00044","columbamine:oxygen oxidoreductase (cyclizing)"," C00007 + 2 C01795 => 2 C00001 + 2 C00757"," Oxygen + 2 Columbamine => 2 H2O + 2 Berberine",,FALSO,"-247,6"
"R00045","3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase"," C00007 + 2 C00355 => 2 C00001 + 2 C00822"," Oxygen + 2 3,4-Dihydroxy-L-phenylalanine => 2 H2O + 2 Dopaquinone",,FALSO,"-257,8"
"R00048","(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase","2 C01089 <=>  C00001 +  C04546","2 (R)-3-Hydroxybutanoate <=>  H2O +  (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate",,VERDADEIRO,"-15,4"
"R00049","1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase"," C00031 +  C04101 <=> 2 C01158"," D-Glucose +  1-O,6-O-Digalloyl-beta-D-glucose <=> 2 1-O-Galloyl-beta-D-glucose",,VERDADEIRO,"-7,8"
"R00053","digallate acylhydrolase;","2 C01424 <=>  C00001 +  C01572","2 Gallate <=>  H2O +  Digallate",,VERDADEIRO,2
"R00054","orsellinate-depside hydrolase","2 C01839 <=>  C00001 +  C02868","2 Orsellinate <=>  H2O +  Lecanoric acid",,VERDADEIRO,"1,7"
"R00055","inosine:oxygen 5'-oxidoreductase"," C00007 + 2 C00294 => 2 C00001 + 2 C01993"," Oxygen + 2 Inosine => 2 H2O + 2 5'-Oxoinosine",,FALSO,"-408,8"
"R00058","catechol:oxygen oxidoreductase;"," C00007 + 2 C00090 => 2 C00001 + 2 C02351"," Oxygen + 2 Catechol => 2 H2O + 2 o-Benzoquinone",,FALSO,"-306,3"
"R00059","N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase","2 C02378 <=>  C00001 +  C01255","2 6-Aminohexanoate <=>  H2O +  N-(6-Aminohexanoyl)-6-aminohexanoate",,VERDADEIRO,"-4,1"
"R00060","Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)"," C00007 + 2 C00495 => 2 C00001 + 2 C03036"," Oxygen + 2 Sulochrin => 2 H2O + 2 (+)-Bisdechlorogeodin",,FALSO,"69,5"
"R00061","Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)"," C00007 + 2 C00495 => 2 C00001 + 2 C03040"," Oxygen + 2 Sulochrin => 2 H2O + 2 (-)-Bisdechlorogeodin",,FALSO,"69,5"
"R00062","bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase"," C00486 +  C05787 <=> 2 C03374"," Bilirubin +  Bilirubin beta-diglucuronide <=> 2 Bilirubin-glucuronoside",,VERDADEIRO,"-0,1"
