"Core network metabolites",,
"ID","NAME","FORMULA"
"C00001","H2O","H2O"
"C00011","CO2","CO2"
"C00014","Ammonia","NH3"
"C00022","Pyruvate","C3H4O3"
"C00025","L-Glutamate","C5H9NO4"
"C00026","2-Oxoglutarate","C5H6O5"
"C00033","Acetate","C2H4O2"
"C00036","Oxaloacetate","C4H4O5"
"C00037","Glycine","C2H5NO2"
"C00041","L-Alanine","C3H7NO2"
"C00042","Succinate","C4H6O4"
"C00048","Glyoxylate","C2H2O3"
"C00049","L-Aspartate","C4H7NO4"
"C00051","Glutathione","C10H17N3O6S"
"C00058","Formate","CH2O2"
"C00064","L-Glutamine","C5H10N2O3"
"C00065","L-Serine","C3H7NO3"
"C00080","H+","H"
"C00084","Acetaldehyde","C2H4O"
"C00086","Urea","CH4N2O"
"C00088","Nitrite","HNO2"
"C00097","L-Cysteine","C3H7NO2S"
"C00099","beta-Alanine","C3H7NO2"
"C00109","2-Oxobutanoate","C4H6O3"
"C00122","Fumarate","C4H4O4"
"C00133","D-Alanine","C3H7NO2"
"C00135","L-Histidine","C6H9N3O2"
"C00149","(S)-Malate","C4H6O5"
"C00152","L-Asparagine","C4H8N2O3"
"C00155","L-Homocysteine","C4H9NO2S"
"C00158","Citrate","C6H8O7"
"C00168","Hydroxypyruvate","C3H4O4"
"C00177","Cyanide ion","CN"
"C00186","(S)-Lactate","C3H6O3"
"C00188","L-Threonine","C4H9NO3"
"C00189","Ethanolamine","C2H7NO"
"C00209","Oxalate","C2H2O4"
"C00217","D-Glutamate","C5H9NO4"
"C00222","3-Oxopropanoate","C3H4O3"
"C00232","Succinate semialdehyde","C4H6O3"
"C00244","Nitrate","HNO3"
"C00256","(R)-Lactate","C3H6O3"
"C00258","D-Glycerate","C3H6O4"
"C00266","Glycolaldehyde","C2H4O2"
"C00283","Hydrogen sulfide","H2S"
"C00288","HCO3-","HCO3"
"C00295","Orotate","C5H4N2O4"
"C00302","Glutamate","C5H9NO4"
"C00311","Isocitrate","C6H8O7"
"C00334","4-Aminobutanoate","C4H9NO2"
"C00337","(S)-Dihydroorotate","C5H6N2O4"
"C00383","Malonate","C3H4O4"
"C00386","Carnosine","C9H14N4O3"
"C00388","Histamine","C5H9N3"
"C00402","D-Aspartate","C4H7NO4"
"C00417","cis-Aconitate","C6H6O6"
"C00429","5,6-Dihydrouracil","C4H6N2O2"
"C00433","2,5-Dioxopentanoate","C5H6O4"
"C00438","N-Carbamoyl-L-aspartate","C5H8N2O5"
"C00439","N-Formimino-L-glutamate","C6H10N2O4"
"C00488","Formamide","CH3NO"
"C00490","Itaconate","C5H6O4"
"C00497","(R)-Malate","C4H6O5"
"C00499","Allantoate","C4H8N4O4"
"C00502","D-Xylonate","C5H10O6"
"C00533","Nitric oxide","NO"
"C00542","Cystathionine","C7H14N2O4S"
"C00545","L-Arabinonate","C5H10O6"
"C00546","Methylglyoxal","C3H4O2"
"C00552","meso-Tartaric acid","C4H6O6"
"C00581","Guanidinoacetate","C3H7N3O2"
"C00596","2-Hydroxy-2,4-pentadienoate","C5H6O3"
"C00603","(-)-Ureidoglycolate","C3H6N2O4"
"C00652","D-Arabinono-1,4-lactone","C5H8O5"
"C00679","5-Dehydro-4-deoxy-D-glucarate","C6H8O7"
"C00682","2-Hydroxymuconate semialdehyde","C6H6O4"
"C00684","2-Dehydro-3-deoxy-L-arabinonate","C5H8O5"
"C00697","Nitrogen","N2"
"C00716","Serine","C3H7NO3"
"C00736","Cysteine","C3H7NO2S"
"C00740","D-Serine","C3H7NO3"
"C00785","Urocanate","C6H6N2O2"
"C00793","D-Cysteine","C3H7NO2S"
"C00804","Propynoate","C3H2O2"
"C00810","(R)-Acetoin","C4H8O2"
"C00813","Barbiturate","C4H4N2O3"
"C00818","D-Glucarate","C6H10O8"
"C00819","D-Glutamine","C5H10N2O3"
"C00820","D-Threonine","C4H9NO3"
"C00878","D-Arabinonate","C5H10O6"
"C00879","D-Galactarate","C6H10O8"
"C00884","Homocarnosine","C10H16N4O3"
"C00898","(R,R)-Tartaric acid","C4H6O6"
"C00900","2-Acetolactate","C5H8O4"
"C00940","2-Oxoglutaramate","C5H7NO4"
"C00957","Mercaptopyruvate","C3H4O3S"
"C00975","Dihydroxyfumarate","C4H4O6"
"C00979","O-Acetyl-L-serine","C5H9NO4"
"C00993","D-Alanyl-D-alanine","C6H12N2O3"
"C01010","Urea-1-carboxylate","C2H4N2O3"
