"Compounds when adding Coenzyme A, NAD(P),  and FAD coenzyme functionality",
"ID","NAME"
"C00001","H2O"
"C00010","CoA"
"C00011","CO2"
"C00014","Ammonia"
"C00022","Pyruvate"
"C00024","Acetyl-CoA"
"C00025","L-Glutamate"
"C00026","2-Oxoglutarate"
"C00027","Hydrogen peroxide"
"C00031","D-Glucose"
"C00033","Acetate"
"C00036","Oxaloacetate"
"C00037","Glycine"
"C00041","L-Alanine"
"C00042","Succinate"
"C00047","L-Lysine"
"C00048","Glyoxylate"
"C00049","L-Aspartate"
"C00051","Glutathione"
"C00058","Formate"
"C00062","L-Arginine"
"C00064","L-Glutamine"
"C00065","L-Serine"
"C00067","Formaldehyde"
"C00072","Ascorbate"
"C00077","L-Ornithine"
"C00080","H+"
"C00083","Malonyl-CoA"
"C00084","Acetaldehyde"
"C00086","Urea"
"C00087","Sulfur"
"C00088","Nitrite"
"C00089","Sucrose"
"C00091","Succinyl-CoA"
"C00094","Sulfite"
"C00095","D-Fructose"
"C00097","L-Cysteine"
"C00099","beta-Alanine"
"C00100","Propanoyl-CoA"
"C00106","Uracil"
"C00109","2-Oxobutanoate"
"C00116","Glycerol"
"C00121","D-Ribose"
"C00122","Fumarate"
"C00123","L-Leucine"
"C00124","D-Galactose"
"C00127","Glutathione disulfide"
"C00132","Methanol"
"C00133","D-Alanine"
"C00134","Putrescine"
"C00135","L-Histidine"
"C00136","Butanoyl-CoA"
"C00141","3-Methyl-2-oxobutanoic acid"
"C00148","L-Proline"
"C00149","(S)-Malate"
"C00152","L-Asparagine"
"C00154","Palmitoyl-CoA"
"C00155","L-Homocysteine"
"C00158","Citrate"
"C00159","D-Mannose"
"C00160","Glycolate"
"C00163","Propanoate"
"C00164","Acetoacetate"
"C00168","Hydroxypyruvate"
"C00177","Cyanide ion"
"C00179","Agmatine"
"C00181","D-Xylose"
"C00183","L-Valine"
"C00184","Glycerone"
"C00185","Cellobiose"
"C00186","(S)-Lactate"
"C00188","L-Threonine"
"C00189","Ethanolamine"
"C00191","D-Glucuronate"
"C00192","Hydroxylamine"
"C00198","D-Glucono-1,5-lactone"
"C00204","2-Dehydro-3-deoxy-D-gluconate"
"C00207","Acetone"
"C00208","Maltose"
"C00209","Oxalate"
"C00216","D-Arabinose"
"C00217","D-Glutamate"
"C00221","beta-D-Glucose"
"C00222","3-Oxopropanoate"
"C00232","Succinate semialdehyde"
"C00233","4-Methyl-2-oxopentanoate"
"C00243","Lactose"
"C00244","Nitrate"
"C00245","Taurine"
"C00246","Butanoic acid"
"C00247","L-Sorbose"
"C00249","Hexadecanoic acid"
"C00252","Isomaltose"
"C00256","(R)-Lactate"
"C00257","D-Gluconic acid"
"C00258","D-Glycerate"
"C00259","L-Arabinose"
"C00263","L-Homoserine"
"C00266","Glycolaldehyde"
"C00267","alpha-D-Glucose"
"C00282","Hydrogen"
"C00283","Hydrogen sulfide"
"C00288","HCO3-"
"C00295","Orotate"
"C00299","Uridine"
"C00302","Glutamate"
"C00309","D-Ribulose"
"C00310","D-Xylulose"
"C00311","Isocitrate"
"C00312","L-Xylulose"
"C00313","Oxalyl-CoA"
"C00315","Spermidine"
"C00320","Thiosulfate"
"C00322","2-Oxoadipate"
"C00327","L-Citrulline"
"C00332","Acetoacetyl-CoA"
"C00333","D-Galacturonate"
"C00334","4-Aminobutanoate"
"C00337","(S)-Dihydroorotate"
"C00349","2-Methyl-3-oxopropanoate"
"C00356","(S)-3-Hydroxy-3-methylglutaryl-CoA"
"C00379","Xylitol"
"C00380","Cytosine"
"C00383","Malonate"
"C00386","Carnosine"
"C00388","Histamine"
"C00392","Mannitol"
"C00402","D-Aspartate"
"C00408","L-Pipecolate"
"C00417","cis-Aconitate"
"C00418","(R)-Mevalonate"
"C00424","(S)-Lactaldehyde"
"C00429","5,6-Dihydrouracil"
"C00430","5-Aminolevulinate"
"C00431","5-Aminopentanoate"
"C00433","2,5-Dioxopentanoate"
