"Core network reactions",
"ID","FORMULA"
"R00005","2 CO2 + 2 Ammonia <=>  H2O +  Urea-1-carboxylate"
"R00006","2 Pyruvate <=>  CO2 +  2-Acetolactate"
"R00008","2 Pyruvate <=>  Parapyruvate"
"R00013"," CO2 +  2-Hydroxy-3-oxopropanoate <=> 2 Glyoxylate"
"R00131"," CO2 + 2 Ammonia <=>  H2O +  Urea"
"R00132"," H2O +  CO2 <=>  Carbonic acid"
"R00152"," Ammonia +  Formate <=> 2 H2O +  Hydrogen cyanide"
"R00195","2 Ammonia +  Pyruvate <=>  H2O +  2,3-Diaminopropanoate"
"R00213"," CO2 + 2 Ammonia +  Pyruvate <=>  H2O +  O-Carbamoyl-L-serine"
"R00217"," CO2 +  Pyruvate <=>  Oxaloacetate"
"R00218"," CO2 +  Pyruvate <=>  H2O +  Acetylenedicarboxylate"
"R00219"," 2-Hydroxyethylenedicarboxylate <=>  CO2 +  Pyruvate"
"R00220"," Ammonia +  Pyruvate <=>  L-Serine"
"R00221"," Ammonia +  Pyruvate <=>  D-Serine"
"R00223"," Ammonia +  Pyruvate <=>  Serine"
"R00224"," CO2 +  Acetaldehyde <=>  Pyruvate"
"R00226","2 Pyruvate <=>  CO2 +  (S)-2-Acetolactate"
"R00254"," H2O +  N-Carbamyl-L-glutamate <=>  CO2 +  Ammonia +  L-Glutamate"
"R00256"," Ammonia +  L-Glutamate <=>  H2O +  L-Glutamine"
"R00258"," Pyruvate +  L-Glutamate <=>  2-Oxoglutarate +  L-Alanine"
"R00260"," D-Glutamate <=>  L-Glutamate"
"R00261"," CO2 +  4-Aminobutanoate <=>  L-Glutamate"
"R00262"," L-Glutamate <=>  L-threo-3-Methylaspartate"
"R00268"," CO2 +  2-Oxoglutarate <=>  Oxalosuccinate"
"R00269"," Ammonia +  2-Oxoglutarate <=>  H2O +  2-Oxoglutaramate"
"R00270"," H2O +  4-Oxoglutaramate <=>  Ammonia +  2-Oxoglutarate"
"R00272"," CO2 +  Succinate semialdehyde <=>  2-Oxoglutarate"
"R00321"," Ammonia +  Acetate <=>  H2O +  Acetamide"
"R00324"," Pyruvate +  Acetate <=>  H2O +  Acetylpyruvate"
"R00325"," Pyruvate +  Acetate <=>  (S)-2-Methylmalate"
"R00338"," Acetate +  Oxalate <=>  H2O +  Oxaloacetate"
"R00339"," H2O +  Oxaloacetate <=>  (R,R)-Tartaric acid"
"R00340"," H2O +  Oxaloacetate <=>  (S,S)-Tartaric acid"
"R00347"," Ammonia +  Oxaloacetate <=>  erythro-3-Hydroxy-Ls-aspartate"
"R00348"," Ammonia +  Oxaloacetate <=>  H2O +  2-Oxosuccinamate"
"R00350"," Pyruvate +  Oxaloacetate <=>  4-Carboxy-4-hydroxy-2-oxoadipate"
"R00355"," L-Glutamate +  Oxaloacetate <=>  2-Oxoglutarate +  L-Aspartate"
"R00362"," Acetate +  Oxaloacetate <=>  Citrate"
"R00363"," 2-Hydroxyethylenedicarboxylate <=>  Oxaloacetate"
"R00369"," Pyruvate +  Glycine <=>  L-Alanine +  Glyoxylate"
"R00372"," L-Glutamate +  Glyoxylate <=>  2-Oxoglutarate +  Glycine"
"R00373"," Glyoxylate +  L-Aspartate <=>  Oxaloacetate +  Glycine"
"R00397"," CO2 +  L-Alanine <=>  L-Aspartate"
"R00400"," Pyruvate +  L-Aspartate <=>  Oxaloacetate +  L-Alanine"
"R00401"," D-Alanine <=>  L-Alanine"
"R00409"," Pyruvate +  Succinate <=>  (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate"
"R00411"," L-Glutamate +  Succinate <=>  H2O +  N-Succinyl-L-glutamate"
"R00469"," CO2 + 2 Ammonia +  Glyoxylate <=>  H2O +  (-)-Ureidoglycolate"
"R00470"," Pyruvate +  Glyoxylate <=>  4-Hydroxy-2-oxoglutarate"
