"Network generated with CoA and NTP coupled reactions replaced with Pantetheine and Pyrophosphate (respectively), and unbalanced FAD/NAD(P)-dependent half reactions included",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Delta G cutoff [kJ/mol]",,,,,,,,,,,
"CID","Name","Infinity",60,55,50,45,40,35,30,25,20,15,10
"C00001","H2O",1,1,1,1,1,1,1,1,1,1,1,1
"C00002","ATP",1,1,1,1,1,1,1,1,1,1,1,1
"C00003","NAD+",1,1,1,1,0,0,0,0,0,0,0,0
"C00004","NADH",1,0,0,0,0,0,0,0,0,0,0,0
"C00005","NADPH",1,0,0,0,0,0,0,0,0,0,0,0
"C00006","NADP+",1,0,0,0,0,0,0,0,0,0,0,0
"C00008","ADP",1,1,1,1,1,1,1,1,1,1,1,1
"C00009","Orthophosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00011","CO2",1,1,1,1,1,1,1,1,1,1,1,1
"C00013","Diphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00014","Ammonia",1,1,1,1,1,1,1,1,1,1,1,1
"C00015","UDP",1,1,1,1,1,1,1,1,1,1,0,0
"C00016","FAD",1,0,0,0,0,0,0,0,0,0,0,0
"C00018","Pyridoxal phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00019","S-Adenosyl-L-methionine",1,1,1,1,1,1,1,1,1,1,1,1
"C00020","AMP",1,1,1,1,1,1,1,1,1,1,1,1
"C00021","S-Adenosyl-L-homocysteine",1,1,1,1,1,1,1,1,1,1,1,1
"C00022","Pyruvate",1,1,1,1,1,1,1,1,1,1,1,1
"C00024","Acetyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00025","L-Glutamate",1,1,1,1,1,1,1,1,1,1,1,1
"C00026","2-Oxoglutarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00027","Hydrogen peroxide",1,0,0,0,0,0,0,0,0,0,0,0
"C00029","UDP-glucose",1,1,1,1,1,1,1,1,1,1,0,0
"C00031","D-Glucose",1,1,1,1,1,1,1,1,1,1,1,1
"C00033","Acetate",1,1,1,1,1,1,1,1,1,1,1,1
"C00035","GDP",1,1,1,1,1,1,0,0,0,0,0,0
"C00036","Oxaloacetate",1,1,1,1,1,1,1,1,1,1,1,1
"C00037","Glycine",1,1,1,1,1,1,1,1,1,1,1,1
"C00041","L-Alanine",1,1,1,1,1,1,1,1,1,1,1,1
"C00042","Succinate",1,1,1,1,1,1,1,1,1,1,1,1
"C00043","UDP-N-acetyl-alpha-D-glucosamine",1,1,1,1,1,1,1,1,1,1,0,0
"C00044","GTP",1,1,1,1,1,1,0,0,0,0,0,0
"C00047","L-Lysine",1,1,1,1,1,1,1,1,1,1,1,1
"C00048","Glyoxylate",1,1,1,1,1,1,1,1,1,1,1,1
"C00049","L-Aspartate",1,1,1,1,1,1,1,1,1,1,1,1
"C00051","Glutathione",1,0,0,0,0,0,0,0,0,0,0,0
"C00052","UDP-alpha-D-galactose",1,1,1,1,1,1,1,1,1,1,0,0
"C00053","3'-Phosphoadenylyl sulfate",1,1,1,1,1,1,1,1,1,1,0,0
"C00054","Adenosine 3',5'-bisphosphate",1,1,1,1,1,1,1,1,1,1,0,0
"C00055","CMP",1,1,1,1,1,1,1,1,1,1,0,0
"C00058","Formate",1,1,1,1,1,1,1,1,1,1,1,1
"C00059","Sulfate",1,1,1,1,1,1,1,1,1,1,0,0
"C00061","FMN",1,0,0,0,0,0,0,0,0,0,0,0
"C00062","L-Arginine",1,1,1,1,1,1,1,1,1,1,1,1
"C00063","CTP",1,1,1,1,1,1,1,1,1,1,0,0
"C00064","L-Glutamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00065","L-Serine",1,1,1,1,1,1,1,1,1,1,1,1
"C00067","Formaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00072","Ascorbate",1,0,0,0,0,0,0,0,0,0,0,0
"C00073","L-Methionine",1,1,1,1,1,1,1,1,1,1,1,1
"C00074","Phosphoenolpyruvate",1,1,1,1,1,1,1,1,1,1,1,1
"C00075","UTP",1,1,1,1,1,1,1,1,1,1,0,0
